id,action_name,action_timestamp,source_person_id,target_person_id
1,fight,2025-01-21 18:23:35,2,2
2,forgive,2025-01-21 18:23:35,2,1
3,help,2025-01-21 18:23:35,4,1
4,fight,2025-01-21 18:23:35,1,1
5,help,2025-01-21 18:23:35,1,4
6,forgive,2025-01-21 18:23:35,2,5
7,betray,2025-01-21 18:23:35,3,3
8,forgive,2025-01-21 18:23:35,1,2
9,fight,2025-01-21 18:23:35,2,4
10,save,2025-01-21 18:23:35,2,4
11,betray,2025-01-21 21:13:07,10,5
12,help,2025-01-21 21:13:07,7,10
13,help,2025-01-21 21:13:07,2,5
14,save,2025-01-21 21:13:07,10,4
15,help,2025-01-21 21:13:07,5,2
16,forgive,2025-01-21 21:13:07,6,6
17,fight,2025-01-21 21:13:07,1,8
18,fight,2025-01-21 21:13:07,7,6
19,forgive,2025-01-21 21:13:07,7,3
20,betray,2025-01-21 21:13:07,5,3
21,help,2025-01-21 21:13:07,8,4
22,save,2025-01-21 21:13:07,1,8
23,fight,2025-01-21 21:13:07,2,5
24,betray,2025-01-21 21:13:07,8,4
25,save,2025-01-21 21:13:07,4,5
26,help,2025-01-21 21:13:07,1,9
27,forgive,2025-01-21 21:13:07,4,7
28,fight,2025-01-21 21:13:07,7,10
29,fight,2025-01-21 21:13:07,6,10
30,help,2025-01-21 21:13:07,2,10
31,betray,2025-01-21 21:13:07,8,6
32,betray,2025-01-21 21:13:07,7,8
33,forgive,2025-01-21 21:13:07,1,6
34,forgive,2025-01-21 21:13:07,3,10
35,save,2025-01-21 21:13:07,5,4
36,betray,2025-01-21 21:13:07,3,6
37,help,2025-01-21 21:13:07,5,10
38,save,2025-01-21 21:13:07,6,10
39,fight,2025-01-21 21:13:07,2,3
40,forgive,2025-01-21 21:13:07,10,10
41,forgive,2025-01-21 21:13:07,9,3
42,help,2025-01-21 21:13:07,3,9
43,forgive,2025-01-21 21:13:07,5,2
44,fight,2025-01-21 21:13:07,3,8
45,help,2025-01-21 21:13:07,4,1
46,fight,2025-01-21 21:13:07,4,8
47,forgive,2025-01-21 21:13:07,8,5
48,betray,2025-01-21 21:13:07,8,10
49,forgive,2025-01-21 21:13:07,8,8
50,betray,2025-01-21 21:13:07,3,5
51,save,2025-01-21 21:13:07,7,9
52,help,2025-01-21 21:13:07,4,10
53,betray,2025-01-21 21:13:07,8,1
54,save,2025-01-21 21:13:07,2,9
55,forgive,2025-01-21 21:13:07,9,2
56,help,2025-01-21 21:13:07,5,4
57,betray,2025-01-21 21:13:07,2,6
58,betray,2025-01-21 21:13:07,7,8
59,betray,2025-01-21 21:13:07,4,1
60,fight,2025-01-21 21:13:07,1,4
61,save,2025-01-21 21:13:07,8,8
62,help,2025-01-21 21:13:07,9,9
63,save,2025-01-21 21:13:07,4,7
64,save,2025-01-21 21:13:07,7,8
65,help,2025-01-21 21:13:07,6,4
66,fight,2025-01-21 21:13:07,1,8
67,save,2025-01-21 21:13:07,6,7
68,save,2025-01-21 21:13:07,3,4
69,save,2025-01-21 21:13:07,8,9
70,help,2025-01-21 21:13:07,3,6
71,fight,2025-01-21 21:13:07,8,7
72,help,2025-01-21 21:13:07,6,7
73,forgive,2025-01-21 21:13:07,3,10
74,fight,2025-01-21 21:13:07,3,5
75,help,2025-01-21 21:13:07,2,7
76,forgive,2025-01-21 21:13:07,1,3
77,help,2025-01-21 21:13:07,3,8
78,fight,2025-01-21 21:13:07,2,5
79,forgive,2025-01-21 21:13:07,5,6
80,save,2025-01-21 21:13:07,2,4
81,save,2025-01-21 21:13:07,1,6
82,forgive,2025-01-21 21:13:07,10,1
83,forgive,2025-01-21 21:13:07,8,4
84,betray,2025-01-21 21:13:07,3,10
85,forgive,2025-01-21 21:13:07,5,3
86,forgive,2025-01-21 21:13:07,3,3
87,help,2025-01-21 21:13:07,1,2
88,save,2025-01-21 21:13:07,4,4
89,betray,2025-01-21 21:13:07,2,10
90,betray,2025-01-21 21:13:07,7,2
91,save,2025-01-21 21:13:07,8,4
92,forgive,2025-01-21 21:13:07,7,9
93,help,2025-01-21 21:13:07,6,2
94,help,2025-01-21 21:13:07,8,5
95,fight,2025-01-21 21:13:07,9,2
96,forgive,2025-01-21 21:13:07,7,8
97,help,2025-01-21 21:13:07,4,2
98,betray,2025-01-21 21:13:07,1,4
99,help,2025-01-21 21:13:07,10,3
100,betray,2025-01-21 21:13:07,10,3
101,fight,2025-01-21 21:13:07,7,3
102,help,2025-01-21 21:13:07,2,5
103,save,2025-01-21 21:13:07,1,4
104,help,2025-01-21 21:13:07,1,2
105,save,2025-01-21 21:13:07,8,10
106,betray,2025-01-21 21:13:07,7,4
107,betray,2025-01-21 21:13:07,5,9
108,forgive,2025-01-21 21:13:07,9,10
109,save,2025-01-21 21:13:07,4,7
110,save,2025-01-21 21:13:07,7,2
